id,contact_id,award_type_id,status,nomination_date,presented_date,notes
50f923bb-29db-547f-b58b-8fb968a1c13d,749448bd-f9d3-50f1-bc98-1c80b2d1db58,1151530f-3e2a-5aba-a1d7-962459896875,nominated,2026-01-22,,Mollitia at asperiores molestiae assumenda illum corrupti veritatis.
1cfc2b61-7c64-5334-9e06-d0e10e5ee53f,910eeae8-6bf9-53cc-8ca9-2c0ea6802d74,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,declined,2026-03-26,,Excepturi atque esse in.
876f0261-4238-5f3d-b305-7c4897b9ca6f,dbf82876-f28a-5d7a-a26c-2afde512e303,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,nominated,2026-04-02,,Corporis maiores magnam repudiandae tempora officia aut.
dabee710-6c04-559e-8a91-f5b178c00409,95d21cc9-763d-51eb-9964-f9a3daa87e3b,1151530f-3e2a-5aba-a1d7-962459896875,approved,2026-07-11,,Nisi sed reprehenderit corporis delectus iure.
d1935ba3-e357-5d91-9927-94fb5a3ddb1e,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,declined,2025-10-18,,Dignissimos consequuntur eos nihil corporis accusamus.
72003646-74eb-573a-b5b8-46da547485d4,47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,presented,2026-02-14,2026-03-13,Cupiditate doloremque a quia aut maxime sint reprehenderit similique ratione.
8ba9a36d-0ed0-5dc5-b5fd-39e24a500ff5,cc43eeaa-d238-550e-8332-4328a9e814c3,1151530f-3e2a-5aba-a1d7-962459896875,approved,2025-10-04,,Repellat maiores a numquam fugit nemo quidem.
9fd923dc-764f-5937-a7fa-83e6f453e0d6,7ac59208-9281-5c4e-ac4d-98f129561f07,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,approved,2025-09-16,,Asperiores corrupti quae nesciunt enim.
c6d65520-f808-5ec0-9289-53d97f24b673,a41605e3-deb1-549a-85c9-9e623ce74975,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,declined,2025-11-03,,Dolor corporis error dolor quam nisi pariatur sequi maxime.
34bfaa0c-f7b8-50e6-95c2-6752c74f1f53,2ed0f6b7-8165-5709-a112-47fcd13a3b82,1151530f-3e2a-5aba-a1d7-962459896875,approved,2026-06-18,,A nemo saepe fugit velit consectetur eaque tempore alias.
bd5131df-d25d-526d-8230-e77618e55394,461032da-a32f-5bc3-b06f-3fe3b8cd7b5e,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,nominated,2025-11-06,,Corrupti vitae expedita delectus quas est exercitationem dignissimos sit.
0e394638-99a6-53bb-961f-d9e3092e5013,91541cfb-71f6-5901-a9e6-e7139d8590de,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,approved,2026-03-24,,Debitis nostrum quos laborum voluptate.
ff69b2e6-1706-5d88-9f43-92355917db48,cdc701e9-8c9d-5013-a8ce-96656d840406,1151530f-3e2a-5aba-a1d7-962459896875,nominated,2026-06-26,,Recusandae repellat illo quos enim commodi est at officia dicta.
09598456-aeca-5b0f-ae9f-cb82650cd97c,41b96f4a-b33f-5f91-bb0f-ccc37ce3c7b0,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,declined,2025-11-19,,Quos asperiores architecto voluptatum quisquam cumque.
41e9508a-b4ad-570b-b010-9ff76a0e467d,e6ed36bc-ca38-5f36-b58f-dcb6e544cb93,e38215c0-d9ef-5025-8f46-dda7dc4f7a73,approved,2026-03-13,,Inventore fugiat quisquam repellat velit harum rerum deleniti dignissimos.
d122cd45-5461-5ad8-b3cb-f9d51e790032,62161118-b953-595c-b7cf-4f4a50b36533,1151530f-3e2a-5aba-a1d7-962459896875,approved,2026-08-02,,Minima harum eum voluptate eaque necessitatibus vel ipsum.
59253466-c1af-5a1c-a18e-87f825a21693,53a6d0dd-0b2f-59d4-b691-f85c37d7b210,368d2afb-7f1f-5f33-b195-f1e3479f5c9f,presented,2026-07-11,2026-07-26,Aspernatur accusantium reiciendis eveniet dolorum aspernatur dolorem.
